pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
722143,205.2273,23.554636,87.083697,23.490342,86.986179,23.632632,87.194745,1
843320,150.809,26.482283,85.722842,26.400441,85.640933,26.562946,85.812919,1
344501,2425.1389,25.910512,70.348356,25.680946,70.080452,26.200537,70.718020,1
520001,5.5856,16.526685,80.611999,16.511600,80.602302,16.545076,80.621218,1
606303,121.0596,11.451953,78.971738,11.394908,78.875801,11.505014,79.042000,1
670334,24.6154,12.027388,75.290350,11.996977,75.264270,12.058711,75.318177,1
313803,493.0332,24.051787,73.527602,23.944642,73.366089,24.161756,73.725239,1
313804,305.3416,23.923880,73.446945,23.806025,73.355896,24.051588,73.565021,1
313901,163.1302,24.344616,73.761895,24.255698,73.688987,24.419262,73.835471,1
721201,220.0493,22.753922,87.508723,22.670004,87.412649,22.845943,87.595945,1
721211,187.3655,22.577365,87.687162,22.519617,87.560119,22.641759,87.801088,1
520002,3.2272,16.511134,80.632328,16.499772,80.617443,16.520425,80.643366,1
679340,27.7582,10.917871,76.235647,10.885529,76.207771,10.950800,76.264161,1
679512,10.8703,10.830456,76.395784,10.818024,76.369315,10.847082,76.428939,1
679513,22.9509,10.940690,76.402456,10.916885,76.364369,10.967493,76.432738,1
344703,694.657,25.678532,71.636594,25.538060,71.516502,25.818126,71.786304,1
700034,6.6486,22.496230,88.319421,22.485868,88.300624,22.507977,88.340607,1
344708,468.4736,25.461997,71.369583,25.339910,71.228792,25.590251,71.551197,1
627102,13.4283,8.458829,77.584062,8.440232,77.560235,8.478555,77.609222,1
344801,578.8401,25.501168,72.193101,25.386198,72.034677,25.629878,72.360330,1
627103,14.2514,8.449157,77.611121,8.428936,77.589504,8.475341,77.633471,1
679514,42.7818,10.871538,76.386836,10.824834,76.341533,10.910802,76.423149,1
627114,50.8848,8.187761,77.578973,8.154384,77.539234,8.223621,77.624188,1
679515,6.6388,10.843522,76.409329,10.832344,76.389047,10.856072,76.424796,1
345022,8733.7638,27.571294,70.535255,27.001932,69.996833,28.035545,71.172970,1
679516,17.0791,10.824437,76.443161,10.794236,76.416347,10.846978,76.464882,1
627118,51.0352,8.397310,77.792840,8.351511,77.753880,8.441383,77.827103,1
313903,336.2394,24.042957,73.864950,23.933441,73.765262,24.140553,73.966623,1
273010,42.5024,26.722323,83.401787,26.699502,83.357472,26.748475,83.447684,1
313904,15.352,24.188513,73.817443,24.165050,73.793246,24.209276,73.835566,1
627119,13.9609,8.389740,77.754193,8.367110,77.735875,8.414771,77.772622,1
273012,3.9128,26.762561,83.385948,26.752206,83.370311,26.774037,83.414211,1
700103,27.7109,22.418096,88.351624,22.385722,88.323050,22.449915,88.391710,1
627120,6.1386,8.160534,77.626276,8.149496,77.607327,8.171911,77.650587,1
313905,201.3049,24.228675,73.909365,24.147197,73.812687,24.311091,73.994764,1
627127,3.7096,8.152075,77.596983,8.142652,77.583872,8.159864,77.610313,1
345023,1317.1162,27.120771,71.834572,26.954739,71.576107,27.299280,72.087349,1
313906,186.7147,24.480913,73.347225,24.349255,73.287192,24.598181,73.407394,1
314022,304.316,23.888537,74.246807,23.791911,74.132173,23.964108,74.384071,1
627131,11.9578,8.299547,77.622508,8.270965,77.604092,8.331643,77.644058,1
679521,10.9134,10.762282,76.345830,10.744029,76.326542,10.780528,76.363608,1
345024,449.7198,26.631684,71.833618,26.553429,71.646423,26.725283,71.973200,1
314023,99.2929,23.833135,73.987152,23.746699,73.935727,23.891503,74.041489,1
273407,164.0443,26.453280,83.277319,26.375847,83.200141,26.518299,83.350195,1
626201,79.0452,9.277868,77.835697,9.241997,77.773897,9.315823,77.892420,1
273408,89.0766,26.373233,83.370836,26.306498,83.329988,26.435068,83.417319,1
752036,1.8779,19.939230,85.511627,19.932269,85.504349,19.945890,85.519913,1
