pincode,n_offices,has_boundary,status
496117,0,1,retired
496197,0,1,retired
496460,0,1,retired
496553,0,1,retired
497450,0,1,retired
500103,0,1,retired
500104,0,1,retired
500105,0,1,retired
500107,0,1,retired
500108,0,1,retired
500110,0,1,retired
500111,0,1,retired
505002,0,1,retired
506103,0,1,retired
506146,0,1,retired
507113,3,0,active
507134,7,0,active
508214,0,1,retired
517646,0,1,retired
522238,0,1,retired
524347,0,1,retired
533347,0,1,retired
533348,0,1,retired
533349,0,1,retired
533350,0,1,retired
533351,0,1,retired
533352,0,1,retired
534435,0,1,retired
534444,0,1,retired
560052,0,1,retired
560069,0,1,retired
560111,0,1,retired
560113,0,1,retired
560114,0,1,retired
560115,0,1,retired
560116,0,1,retired
560117,0,1,retired
560500,0,1,retired
563147,0,1,retired
563157,0,1,retired
570024,0,1,retired
570032,0,1,retired
573226,0,1,retired
577007,0,1,retired
580027,0,1,retired
581199,0,1,retired
582104,0,1,retired
583153,0,1,retired
583154,0,1,retired
583284,0,1,retired
583285,0,1,retired
583286,0,1,retired
583287,0,1,retired
585107,0,1,retired
586105,0,1,retired
587156,0,1,retired
587331,0,1,retired
590002,0,1,retired
600027,0,1,retired
600029,0,1,retired
600079,0,1,retired
600112,0,1,retired
600132,0,1,retired
603004,0,1,retired
606109,0,1,retired
610005,0,1,retired
612905,0,1,retired
622408,0,1,retired
625538,0,1,retired
626161,0,1,retired
630004,0,1,retired
630006,0,1,retired
635130,0,1,retired
636017,0,1,retired
638060,0,1,retired
641040,0,1,retired
671534,0,1,retired
673051,0,1,retired
673323,0,1,retired
682050,0,1,retired
682051,0,1,retired
682317,0,1,retired
683548,0,1,retired
686640,0,1,retired
690546,0,1,retired
691527,0,1,retired
700161,0,1,retired
700162,0,1,retired
711115,0,1,retired
711206,0,1,retired
721668,0,1,retired
722107,0,1,retired
722110,0,1,retired
722111,0,1,retired
722112,0,1,retired
722145,0,1,retired
722163,0,1,retired
722165,0,1,retired
722166,0,1,retired
722168,0,1,retired
722169,0,1,retired
722170,0,1,retired
722171,0,1,retired
722172,0,1,retired
722174,0,1,retired
722175,0,1,retired
722176,0,1,retired
722177,0,1,retired
722178,0,1,retired
722179,0,1,retired
722180,0,1,retired
722181,0,1,retired
722182,0,1,retired
722209,0,1,retired
731213,12,0,active
731218,0,1,retired
731304,0,1,retired
734425,0,1,retired
743339,0,1,retired
743384,0,1,retired
743385,0,1,retired
743389,0,1,retired
743390,0,1,retired
743391,0,1,retired
743392,0,1,retired
743396,0,1,retired
743398,0,1,retired
743507,0,1,retired
743601,0,1,retired
743603,0,1,retired
743606,0,1,retired
751026,0,1,retired
751027,0,1,retired
751029,0,1,retired
751031,0,1,retired
751032,0,1,retired
752028,0,1,retired
752029,0,1,retired
752032,0,1,retired
752033,0,1,retired
752036,0,1,retired
752071,0,1,retired
752072,0,1,retired
752086,0,1,retired
752087,0,1,retired
752112,0,1,retired
753005,0,1,retired
753051,0,1,retired
754016,0,1,retired
754017,0,1,retired
754034,0,1,retired
754036,0,1,retired
754081,0,1,retired
754117,0,1,retired
754118,0,1,retired
754155,0,1,retired
754156,0,1,retired
754157,0,1,retired
754226,0,1,retired
754229,0,1,retired
754233,0,1,retired
754237,0,1,retired
754238,0,1,retired
754241,0,1,retired
754242,0,1,retired
754243,0,1,retired
754251,0,1,retired
754261,0,1,retired
754282,0,1,retired
754285,0,1,retired
754286,0,1,retired
754288,0,1,retired
755021,0,1,retired
755030,0,1,retired
755031,0,1,retired
755032,0,1,retired
755033,0,1,retired
755035,0,1,retired
755037,0,1,retired
755038,0,1,retired
755039,0,1,retired
755041,0,1,retired
755042,0,1,retired
755045,0,1,retired
755046,0,1,retired
755047,0,1,retired
755051,0,1,retired
756018,0,1,retired
756053,0,1,retired
756082,0,1,retired
756110,0,1,retired
756140,0,1,retired
756142,0,1,retired
756143,0,1,retired
756161,0,1,retired
757012,0,1,retired
757015,0,1,retired
758024,0,1,retired
758042,0,1,retired
758049,0,1,retired
758072,0,1,retired
758086,0,1,retired
758087,0,1,retired
759029,0,1,retired
759109,0,1,retired
759133,0,1,retired
759134,0,1,retired
759135,0,1,retired
759136,0,1,retired
759138,0,1,retired
759139,0,1,retired
759140,0,1,retired
759142,0,1,retired
760011,0,1,retired
760020,0,1,retired
761036,0,1,retired
761128,0,1,retired
761142,0,1,retired
762025,0,1,retired
764053,0,1,retired
764069,0,1,retired
766021,0,1,retired
766109,0,1,retired
766113,0,1,retired
766117,0,1,retired
767034,0,1,retired
767049,0,1,retired
767064,0,1,retired
767071,0,1,retired
768023,0,1,retired
768041,0,1,retired
768043,0,1,retired
768054,0,1,retired
768101,0,1,retired
768116,0,1,retired
768223,0,1,retired
768230,0,1,retired
768232,0,1,retired
769041,0,1,retired
770025,0,1,retired
770071,0,1,retired
781002,0,1,retired
781033,0,1,retired
781130,0,1,retired
781358,0,1,retired
782107,0,1,retired
782108,0,1,retired
782475,0,1,retired
783338,0,1,retired
783351,0,1,retired
783362,0,1,retired
783374,0,1,retired
783386,0,1,retired
784118,0,1,retired
784151,0,1,retired
784152,0,1,retired
784162,0,1,retired
784181,0,1,retired
784183,0,1,retired
784185,0,1,retired
785005,0,1,retired
785604,0,1,retired
785617,0,1,retired
785620,0,1,retired
785660,0,1,retired
785694,0,1,retired
785695,0,1,retired
786148,0,1,retired
786624,0,1,retired
787029,0,1,retired
787030,0,1,retired
788008,0,1,retired
788012,0,1,retired
788122,0,1,retired
788167,0,1,retired
788702,0,1,retired
788706,0,1,retired
788721,0,1,retired
788834,0,1,retired
795011,0,1,retired
796015,0,1,retired
796911,0,1,retired
797005,9,0,active
797006,0,1,retired
798607,0,1,retired
799011,0,1,retired
799113,0,1,retired
799132,0,1,retired
799282,0,1,retired
800030,0,1,retired
801101,0,1,retired
801106,0,1,retired
801115,0,1,retired
801117,0,1,retired
801118,0,1,retired
801502,0,1,retired
802237,0,1,retired
802315,0,1,retired
803122,0,1,retired
803123,0,1,retired
803204,0,1,retired
803205,0,1,retired
803206,0,1,retired
803218,0,1,retired
804433,0,1,retired
805113,0,1,retired
813112,0,1,retired
813115,0,1,retired
813116,0,1,retired
813117,0,1,retired
813118,0,1,retired
813119,0,1,retired
813121,0,1,retired
813123,0,1,retired
813124,0,1,retired
813125,0,1,retired
813126,0,1,retired
813127,0,1,retired
813128,0,1,retired
813129,0,1,retired
813223,0,1,retired
813225,0,1,retired
813227,0,1,retired
813228,0,1,retired
813231,0,1,retired
813233,0,1,retired
814124,0,1,retired
815552,0,1,retired
822127,0,1,retired
824119,0,1,retired
824130,0,1,retired
824213,0,1,retired
824218,0,1,retired
825137,0,1,retired
825335,0,1,retired
825337,0,1,retired
825414,0,1,retired
826006,0,1,retired
826007,0,1,retired
826009,0,1,retired
827015,0,1,retired
828102,0,1,retired
828142,0,1,retired
