pincode,centroid_lat,centroid_lon,area_sqkm
140001,30.973637,76.571375,157.6182
140101,30.79411,76.501901,120.6364
140102,30.855509,76.491613,125.2617
140103,30.809742,76.600491,77.3268
140108,30.918443,76.602866,187.3224
140109,30.887958,76.682299,132.5153
140110,30.846858,76.704005,85.9769
140111,30.940363,76.411657,178.8832
140112,30.888894,76.377027,81.208
140113,31.041974,76.573857,51.0251
140114,31.095411,76.600956,52.6016
140115,31.18293,76.589129,77.7606
140116,31.213658,76.54245,96.3328
140117,31.168919,76.447118,216.7629
140118,31.239329,76.495871,56.02
140119,31.074484,76.5071,161.0109
140123,31.26978,76.471238,36.5799
140124,31.394447,76.3818,25.0331
140125,31.34506,76.399038,33.0014
140126,31.305632,76.350245,136.5531
140133,31.279002,76.418483,82.9197
140201,30.591149,76.830751,41.5481
140301,30.739749,76.626266,164.6034
140306,30.629772,76.710926,147.8716
140307,30.680491,76.645863,77.6133
140308,30.684773,76.710445,9.43
140401,30.4606,76.566476,72.4918
140402,30.495147,76.652735,289.6151
140405,30.578967,76.345138,84.4223
140406,30.548935,76.421797,332.9029
140407,30.654034,76.377893,33.2717
140408,30.638374,76.531484,197.8207
140412,30.71059,76.440805,212.5885
140413,30.759584,76.572589,34.3988
140417,30.421692,76.699263,271.8754
140501,30.46557,76.847086,303.7339
140506,30.564893,76.78677,19.3006
140507,30.585373,76.875619,103.1004
140601,30.561423,76.75889,51.3431
140602,30.575524,76.636958,154.4487
140603,30.629123,76.808748,50.7447
140604,30.671322,76.826724,3.2847
140701,30.39476,76.545317,121.114
140702,30.324927,76.606737,140.5008
140802,30.769933,76.387903,18.1433
140901,30.811698,76.779632,150.2986
141001,30.914259,75.821232,36.1088
141002,30.888027,75.840631,6.0805
141003,30.8776,75.869959,20.3452
141004,30.903996,75.800874,7.6383
141006,30.855961,75.860759,4.6943
141007,30.97741,75.900051,137.233
141008,30.962214,75.772128,172.9306
141010,30.880837,75.916217,43.0595
141012,30.890692,75.784476,13.2024
141013,30.864492,75.824074,24.7448
141014,30.871602,75.90204,4.5349
141015,30.9291,75.948705,57.1908
141016,30.848835,75.888499,0.4535
141017,30.849298,75.927586,9.9151
141101,30.842716,75.656705,57.6121
141102,30.876176,75.700016,59.3907
141103,30.802689,75.693169,15.521
141104,30.777224,75.649674,17.1592
141105,30.760752,75.682747,30.0062
141106,30.750172,75.637806,22.2893
141107,30.687102,75.650707,154.6569
141108,30.717937,75.713689,51.8547
141109,30.636908,75.579171,246.0101
141110,30.932728,75.647431,107.6026
141112,30.888861,76.00512,71.5219
141113,30.870152,76.078835,57.9119
141114,30.818372,76.201527,218.1328
